Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
Page,Tag,Enter Yggdrasil Account Profile (2/3),输入外置帐户资料 (2/3),輸入外置帳戶資料 (2/3),Заполните данные аккаунта Yggdrasil (2/3),Заповніть дані акаунта Yggdrasil (2/3)
TB1,PlaceholderText,Yggdrasil Server Url:,Yggdrasil 服务器：,Yggdrasil 服務器：,URL сервера Yggdrasil,URL сервера Yggdrasil
TB2,PlaceholderText,Email:,电子邮件：,電子郵件：,Эл. почта,Ел. пошта
TB3,PlaceholderText,Password:,密码：,密碼：,Пароль,Пароль
Text1,Text,Validating Server,正在验证服务器,正在验证服务器,Проверка сервера,Перевірка сервера
Text2,Text,Found:,已发现：,已发现：,Найдено:,Знайдено:
Text3,Text,Invalid Server Url,无效的服务器地址,无效的服务器地址,Неверный URL-адрес сервера,Недійсна URL-адреса сервера
