Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
T1,Text,Latest Minecraft,最新的 Minecraft,最新的 Minecraft,Последний Minecraft,Останній Minecraft
T2,Text,Minecraft Versions,Minecraft 版本,Minecraft 版本,Версии Minecraft,Версії Minecraft
T3,Text,CurseForse Resources,CurseForse 资源,CurseForse 資源,Ресурсы CurseForse,Ресурси CurseForse
T4,Text,Modrinth Resources,Modrinth 资源,Modrinth 資源,Ресурсы Modrinth,Ресурси Modrinth
Text1,Text,Go Download,前往下载,前往下載,Перейти к загрузке,Перейти до завантаження
Text2,Text,Show All..,显示全部..,顯示全部..,Показать все..,Показати все...
Text3,Text,Search More..,搜索更多..,搜尋更多..,Искать больше..,Шукати більше...
