Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
Text1,Text,Resource Type:,资源类型：,資源類型：,Тип ресурса: ,Тип ресурсу:
Text2,Text,Resource Source:,资源来源：,資源來源：,Источник ресурса: ,Джерело ресурсу:
Text3,Text,Applicable Version:,适用版本：,適用版本：,Применимая версия: ,Застосовна версія:
CheckBox,Content,Enable Version Filter,启用版本过滤器,啟用版本過濾器,Включить фильтр версий,Увімкнути фільтр версій
_Items1,,All;Minecraft;Modpack;Mod,全部;Minecraft;整合包;模组,全部;Minecraft;整合包;模組,Все;Minecraft;Модпак;Мод,Все;Minecraft;Модпак;Мод
_Items2,,All;CurseForge;Modrinth,全部;CurseForge;Modrinth,全部;CurseForge;Modrinth,Все;CurseForge;Modrinth,CurseForge;Modrinth,Все;CurseForge;Modrinth
