Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
T1,Text,3D Model Preview,3D 模型预览,3D 模型預覽,Предварительный просмотр 3D-модели,Попередній перегляд 3D-моделі
T2,Text,Operations,操作,操作,Операции,Операції
Card1,Header,Upload new skin,上传新皮肤,上傳新皮膚,Загрузить новый скин,Завантажити новий скін
Card2,Header,Manage your skins on the official website or skin site,在官方网站或皮肤站管理您的皮肤,在官方網站或皮膚站管理您的皮膚,Управляйте своими скинами на официальном сайте или сайте скинов,Керуйте своїми скінами на офіційному сайті або сайті скінів
Card2,Description,Click to go to management,点击前往管理,點選前往管理,"Нажмите, чтобы перейти к управлению","Натисніть, щоб перейти до управління"
Text1,Text,Upload a new skin and replace the current skin,上传新皮肤并替换现有皮肤,上傳新皮膚並替換現有皮膚,Загрузите новый скин и замените текущий скин.,Завантажте новий скін і замініть поточний скін.
Text2,Text,This feature is currently not supported for Yggdrasil accounts,Yggdrasil 帐户目前不支持此功能,Yggdrasil 帳戶目前不支援此功能,Эта функция в настоящее время не поддерживается для учетных записей Yggdrasil.,Ця функція наразі не підтримується для облікових записів Yggdrasil.
